student_id,archetype,timestamp,question_id,topic,difficulty,bloom_level,is_correct,error_code
46,Lucky Guesser,2026-05-01T10:00:00,Q067,LIMIT,0.88,Creating,True,
46,Lucky Guesser,2026-05-01T11:00:00,Q042,APPLICATIONS,0.52,Applying,False,sign_error
46,Lucky Guesser,2026-05-01T12:00:00,Q011,LIMIT,0.16,Understanding,False,fraction_operation_error
46,Lucky Guesser,2026-05-01T13:00:00,Q090,LIMIT,0.52,Creating,True,
46,Lucky Guesser,2026-05-01T14:00:00,Q003,LIMIT,0.47,Understanding,False,derivative_instead_of_integral
46,Lucky Guesser,2026-05-02T10:00:00,Q055,APPLICATIONS,0.5,Evaluating,False,sign_error
46,Lucky Guesser,2026-05-02T11:00:00,Q041,LIMIT,0.62,Evaluating,False,conceptual_misunderstanding
46,Lucky Guesser,2026-05-02T12:00:00,Q043,INTEGRAL,0.54,Creating,False,forgot_chain_rule_inner
46,Lucky Guesser,2026-05-02T13:00:00,Q087,APPLICATIONS,0.31,Evaluating,True,
46,Lucky Guesser,2026-05-02T14:00:00,Q036,APPLICATIONS,0.65,Creating,False,conceptual_misunderstanding
46,Lucky Guesser,2026-05-03T10:00:00,Q035,APPLICATIONS,0.43,Understanding,False,sign_error
46,Lucky Guesser,2026-05-03T11:00:00,Q088,LIMIT,0.69,Creating,False,wrong_integration_formula
46,Lucky Guesser,2026-05-03T12:00:00,Q028,DIFFERENTIAL,0.21,Creating,False,arithmetic_error
46,Lucky Guesser,2026-05-03T13:00:00,Q092,LIMIT,0.42,Remembering,False,wrong_integration_formula
46,Lucky Guesser,2026-05-03T14:00:00,Q034,INTEGRAL,0.62,Applying,False,trig_sign_error
46,Lucky Guesser,2026-05-04T10:00:00,Q081,DIFFERENTIAL,0.33,Analyzing,False,exponent_rule_error
46,Lucky Guesser,2026-05-04T11:00:00,Q007,APPLICATIONS,0.1,Remembering,False,forgot_plus_c
46,Lucky Guesser,2026-05-04T12:00:00,Q073,DIFFERENTIAL,0.56,Evaluating,False,arithmetic_error
46,Lucky Guesser,2026-05-04T13:00:00,Q002,APPLICATIONS,1.0,Evaluating,False,derivative_instead_of_integral
46,Lucky Guesser,2026-05-04T14:00:00,Q013,INTEGRAL,0.7,Applying,False,fraction_operation_error
46,Lucky Guesser,2026-05-05T10:00:00,Q093,INTEGRAL,0.68,Creating,False,fraction_operation_error
46,Lucky Guesser,2026-05-05T11:00:00,Q052,INTEGRAL,0.75,Creating,False,fraction_operation_error
46,Lucky Guesser,2026-05-05T12:00:00,Q074,DIFFERENTIAL,0.88,Applying,True,
